kick,patada,kout pye,trete,coup,rakla,bal chagi,pinat'
kid,niño,timoun,Kind,enfant,tifl,eolin-i,rebenok
kill,matar,touye,töten,tuer,qutil,jug-ida,ubiystvo
killer,asesino,asasen,Mörder,tueur,alqatil,sal-inja,ubiytsa
killing,asesinato,touye,Tötung,meurtre,qutil,jug-ineun,ubiystvo
kind,amable,jantiyès,Art,gentil,eutuf,chinjeolhan,dobryy
king,rey,wa,König,roi,mlik,wang,korol'
kiss,beso,bo,Kuss,baiser,qubla,kiseu,tselovat'
kitchen,cocina,kwizin,Küche,cuisine,matbakh,jubang,kukhnya
knee,rodilla,jenou,Knie,genou,rukba,muleup,koleno
knife,cuchillo,kouto,Messer,couteau,sikiyn,kal,nozh
knock,golpear,frape,klopfen,frappe,turiq,nokeu,stuchat'
know,saber,konnen,wissen,savoir,yueraf,alda,znat'
knowledge,conocimiento,konesans,Wissen,connaissance,maerifa,jisig,znaniye
lab,laboratorio,laboratwa,Labor,laboratoire,mukhtabar,laeb,laboratoriya
label,etiqueta,etikèt,Etikett,étiquette,mulsaq,sangpyo,etiketka
labor,mano de obra,travay,Arbeit,travail,taeab,nodong,trud
laboratory,laboratorio,laboratwa,Labor,laboratoire,maemal,silhyeomsil,laboratoriya
lack,falta,mank,Mangel,manque,naqs,bujog,nedostatok
lady,dama,dam,Dame,dame,sayida,sugnyeo,ledi
lake,lago,lak,See,lac,buhayra,hosu,ozero
land,tierra,peyi,Land,atterrir,ard,ttang,zemlya
landscape,paisaje,jaden flè,Landschaft,paysage,manzar jamaliun,pung-gyeong,peyzazh
language,idioma,lang,Sprache,langue,lugha,eon-eo,yazyk
lap,regazo,janm,Schoß,genoux,hajar,muleup,koleni
large,grande,gwo,groß,grand,kabir,keugiga keun,bol'shoy
largely,en gran parte,lajman,weitgehend,en grande partie,iilaa hadin kabir,keuge,vo mnogom
last,último,dènye,zuletzt,dernier,akhar,majimag,posledniy
late,tarde,an reta,spät,en retard,muta'akhir,neuj-eun,pozdno
later,más tarde,pita,später,plus tard,lahqaan,najung-e,pozzhe
Latin,latín,Latin,Latein,Latin,allaatinia,latin-eo,latinskiy
latter,último,lèt,letztere,dernier,akhir,huja,posledniy
laugh,reír,ri,lachen,rire,yadhak,usda,smekh
launch,lanzamiento,lanse,Start,lancement,yutlaq,sijaghada,zapusk
law,ley,lalwa,Gesetz,loi,qanun,beob,zakon
lawn,césped,gazon,Rasen,pelouse,aleushb,jandi,luzhayka
lawsuit,demanda judicial,pwosè,Klage,procès,daewaa qadayiyatan,sosong,isk
lawyer,abogado,avoka,Rechtsanwalt,avocat,muhami,byeonhosa,advokat
lay,poner,kouche,legen,poser,yadae,nohda,klast'
layer,capa,kouch,Schicht,couche,tabaqa,cheung,sloy
lead,dirigir,plon,führen,plomb,yaqud,seondu,vesti
leader,líder,lidè,Führer,chef,qayid,jidoja,lider
leadership,liderazgo,lidèchip,Führung,direction,qiada,jido,liderstvo
leading,principal,dirijan,führend,menant,qiada,juyohan,vedushchiy
leaf,hoja,fèy,Blatt,feuille,waraqa,ip,list
league,liga,lig,Liga,ligue,aldawriu,ligeu,liga
lean,inclinarse,mèg,mager,maigre,nahif,gidaeda,naklonyat'
learn,aprender,aprann,lernen,apprendre,yataealam,baeuda,uchit'sya
learning,aprendiendo,aprantisaj,Lernen,apprentissage,tellum,hagseub,obucheniye
least,el menos,pi piti,am wenigsten,moins,al'aqalu,choeso,naimeneye
leather,cuero,kwi,Leder,cuir,jalad,gajug,kozha
leave,dejar,kite,verlassen,partir,yatrak,tteonada,ostavlyat'
left,izquierda,kite,links,gauche,ghadir,oenjjog,levyy
leg,pierna,janm,Bein,jambe,rajul,dali,noga
legacy,legado,eritaj,Vermächtnis,héritage,iirth,yusan,naslediye
legal,legal,legal,legal,légal,qanuniun,habbeobjeog-in,yuridicheskiy
legend,leyenda,lejand,Legende,légende,ustura,jeonseol,legenda
legislation,legislación,lejislasyon,Gesetzgebung,législation,tashrie,beoblyul jejeong,zakonodatel'stvo
legitimate,legítimo,lejitim,legitim,légitime,shareiun,jeongdanghan,zakonnyy
lemon,limón,sitwon,Zitrone,citron,lymun,lemon,limon
length,longitud,longè,Länge,longueur,tul,gil-i,dlina
less,menos,mwens,weniger,moins,aqalu,deo jeog-eun,men'she
lesson,lección,leson,Lektion,leçon,daras,sueob,urok
let,dejar,kite,lassen,laisser,yatrak,heolaghada,pozvolyat'
letter,carta,lèt,Brief,lettre,khitab,pyeonji,pis'mo
level,nivel,nivo,Ebene,niveau,mustawaa,sujun,uroven'
liberal,liberal,liberal,Liberale,libéral,libralia,manh-eun,liberal'nyy
library,biblioteca,bibliyotèk,Bibliothek,bibliothèque,maktaba,doseogwan,biblioteka
license,licencia,lisans,Lizenz,Licence,rukhsa,teugheo,litsenziya
lie,mentir,bay manti,Lüge,mensonge,kidhb,geojismalhada,lozh'
life,vida,lavi,Leben,vie,haya,salm,zhizn'
lifestyle,estilo de vida,fòm,Lebensstil,mode de vie,namat alhayaa,saenghwal yangsig,Stil' zhizni
lifetime,toda la vida,pou tout lavi,Lebensdauer,durée de vie,haya,ilsaeng,prodolzhitel'nost' zhizni
lift,elevar,leve,Aufzug,ascenseur,yarfae,seung-gang-gi,podnimat'
light,luz,limyè,Licht,lumière,daw',bich,svet
like,como,tankou,wie,comme,yuhibu,johda,nravit'sya
likely,probable,gen anpil chans,wahrscheinlich,probable,muhtamal,~hal geos gat-eun,veroyatnyy
limit,límite,limit,Grenze,limite,hada,hangye,predel
limitation,limitación,limitasyon,Einschränkung,limitation,alqayd,hanjeong,ogranicheniye
limited,limitado,limite,begrenzt,limité,mahdud,jehandoen,ogranichennoye
line,línea,liy,Linie,doubler,khata,seon,liniya
link,enlace,lyen,Verknüpfung,lien,wusla,lingkeu,svyaz'
lip,labio,lèv,Lippe,lèvre,shafa,malppun-in,guba
list,lista,lis,Liste,liste,qayima,moglog,spisok
listen,escuchar,koute,Hören,écouter,yastamie,deudda,slushat'
literally,literalmente,literalman,buchstäblich,littéralement,hrfyaan,munja geudaelo,bukval'no
literary,literario,literè,literarisch,littéraire,al'adabia,munho,literaturnyy
literature,literatura,literati,Literatur,littérature,al'adab,munhag,literatura
little,pequeño,ti kras,wenig,petit,qalil,jag-eun,malen'kiy
live,vivir,viv,live,en direct,yaeish,salda,zhit'
living,viviendo,k ap viv,Leben,vie,maeisha,saenghwal,zhizn'
load,carga,chaj,Belastung,charger,humula,jim,nagruzka
loan,préstamo,prè,Darlehen,prêt,yuqrd,daechul,zayem
local,local,lokal,lokal,locale,mahaliy,hyeonjiui,mestnyy
locate,localizar,lokalize,Lokalisieren,Localiser,hudid,wichihago issda,nayti
location,ubicación,kote,Standort,emplacement,mawqie,wichi,raspolozheniye
lock,cerrar,fèmen,sperren,verrouillage,qufl,jamgeuda,zamok
long,largo,lontan,lang,long,tawil,gin,dlinnyy
long-term,a largo plazo,alontèm,langfristig,long terme,tawil al'amad,jang-gigan,dolgosrochnyy
look,mirar,gade,sehen,regarder,yanzur,balaboda,smotret'
loose,perder,ki lach,lose,lâche,murtakhi,heolleonghan,svobodnyy
lose,perder,pèdi,verlieren,perdre,yakhsar,ilhda,teryat'
loss,pérdida,pèt,Verlust,perte,khasara,sonsil,poterya
lost,perdido,pèdi,verloren,perdu,dayie,ilh-eobeolin,poteryannyy
lot,lote,lot,viel,parcelle,kathir,manh-eun,mnogo
lots,lotes,anpil,viele,beaucoup,alkathir,manh-i,mnogo
loud,alto,byen fò,laut,fort,eali,sikkeuleoun,gromkiy
love,amar,renmen,Liebe,amour,habun,salang,lyubov'
lovely,hermoso,bèl,schön,beau,mahbub,salangseuleoun,prekrasnyy
lover,amante,lover,Liebhaber,amoureux,eashiq,aein,vozlyublennyy
low,bajo,ba,niedrig,faible,qalil,naj-eun,nizkiy
lower,más bajo,pi ba,untere,inférieur,adnaa,najchuda,nizhe
luck,suerte,chans,Glück,chance,haza,un,udacha
lucky,afortunado,chans,glücklich,chanceux,mahzuz,un-i joh-eun,udachlivyy
lunch,almuerzo,manje midi,Mittagessen,déjeuner,ghada',jeomsim,obed
lung,pulmón,poumon,Lunge,poumon,ria,pye,legkoye
machine,máquina,machin,Maschine,machine,al,gigye,mashina
mad,enojado,fache,verrückt,fou,majnun,michin,bezumnyy
magazine,revista,magazin,Zeitschrift,revue,majala,jabji,zhurnal
mail,correo,lapòs,Post,mail,barid,upyeon,pochta
main,principal,prensipal,hauptsächlich,principal,rayiysiun,gibon,osnovnoy
mainly,principalmente,sitou,hauptsächlich,principalement,khasatan,julo,v osnovnom
maintain,mantener,kenbe,pflegen,maintenir,yuhafiz ealaa,yujihada,podderzhivat'
maintenance,mantenimiento,antretyen,Wartung,entretien,siana,yuji,obsluzhivaniye
major,importante,pi gwo,wesentlich,majeur,rayiysiun,juyohan,glavnyy
majority,mayoría,majorite,mehrheitlich,majorité,ghalibia,dasu,bol'shinstvo
make,hacer,fè,machen,faire,yasnae,mandeulda,delat'
maker,fabricante,maker,Hersteller,fabricant,sanie,mandeuneun salam,sozdatel'
makeup,constituir,Makiyaj,bilden,se maquiller,makyaj,jolib,sostavit'
male,masculino,gason,männlich,mâle,dhukir,namseong,muzhskoy
mall,centro comercial,sant komèsyal,Einkaufszentrum,centre commercial,mujamae tijariun,syoping senteo,torgovyy tsentr
man,hombre,nonm,Mann,homme,rajul,namseong,muzhchina
manage,administrar,jere,verwalten,gérer,yudir,gwanlihada,upravlyat'
management,gestión,jesyon,Management,gestion,iidara,gwanli,upravleniye
manager,gerente,manadjè,Manager,directeur,mudir,gwanlija,menedzher
manner,manera,fason,Benehmen,manière,tariqa,bangbeob,manera
manufacturer,fabricante,manifakti,Hersteller,fabricant,alsaanie,jejo-eobche,proizvoditel'
manufacturing,fabricación,manifakti,Herstellung,fabrication,tasnie,jojag,proizvodstvo
many,muchos,anpil,viele,beaucoup,kathir,manh-eun,mnogo
map,mapa,kat jeyografik,Karte,carte,kharita,jido,karta
margin,margen,maj,Marge,marge,hamish,yeoyu,dopusk
mark,marca,make,markieren,marque,ealama,pyosi,otmetka
market,mercado,mache,Markt,marché,suq,sijang,rynok
marketing,marketing,maketing,Marketing,commercialisation,taswiq,maketing,marketing
marriage,casamiento,maryaj,Hochzeit,mariage,zawaj,gyeolhon,svad'ba
married,casado,marye,verheiratet,marié,mutazawij,gihon,zhenatyy
marry,casar,marye,heiraten,marier,alzawaj,gyeolhonhada,vyyti zamuzh
mask,mascarilla,mask,Maske,masque,qinae,maseukeu,maska
mass,masa,mas,Masse,masse,kutla,daelyang-ui,massa
massive,masivo,masiv,fest,massif,jasim,eomcheongnan,massivnyy
master,maestro,mèt,Meister,maître,yutqin,ju-in,vladelets
match,fósforo,match,übereinstimmen,correspondre,mubaraa,seongnyang,sootvetstvovat'
material,material,materyèl,Material,matériel,mada,jaelyo,material
math,matemáticas,matematik,Mathematik,mathématiques,alriyadiaat,suhag,matematika
matter,asunto,matyè,Gegenstand,matière,mawdue,munje,imet' znacheniye
may,puede,me,Mai,peut,yumkin,5wol,mozhet
maybe,tal vez,petèt,Vielleicht,peut être,rubama,amado,mozhet byt'
mayor,alcalde,majistra,Bürgermeister,maire,eumda,sijang,mer
me,a mí,mwen,Mich,moi,ana,na,mne
meal,comida,repa,Mahlzeit,repas,wajba,sigsa,yeda
mean,significar,vle di,bedeuten,signifier,yaqsid,pyeong-gyun,imet' v vidu
meaning,significado,siyifikasyon,Bedeutung,signification,maenaa,uimi,znacheniye
meanwhile,mientras tanto,pandan se tan,in der Zwischenzeit,entre-temps,fi 'athna',geu dong-an-e,tem vremenem
measure,medida,mezi,messen,mesure,yaqis,cheugjeonghada,mera
measurement,medición,mezi,Messung,la mesure,qias,cheugjeong,izmereniye
meat,carne,vyann,Fleisch,viande,luhma,gogi,myaso
mechanism,mecanismo,mekanis,Mechanismus,mécanisme,aly,gigu,mekhanizm
media,medios de comunicación,medya,Medien,médias,wasayit,midieo,SMI
medical,médico,medikal,medizinisch,médical,tibiyun,uilyo,meditsinskiy
medication,medicamento,medikaman,Medikamente,médicament,dawa',yagmul,medikament
medicine,medicamento,remèd,Medizin,médecine,aldawa',yag,lekarstvo
medium,medio,mwayen,Mittel,moyen,wasita,jung-gan,seredina
meet,encontrarse,rankontre,treffen,rencontrer,yuqabil,mannada,vstretit'sya
meeting,reunión,reyinyon,treffen,réunion,muqabala,hoeui,vstrecha
member,miembro,manm,Mitglied,membre,eudw,hoewon,chlen
membership,afiliación,manm,Mitgliedschaft,adhésion,eudwia,hoewon,chlenstvo
memory,memoria,memwa,Erinnerung,mémoire,dhakira,memoli,Pamyat'
mental,mental,mantal,mental,mental,eaqli,jeongsinjeog-in,umstvennyy
mention,mencionar,mansyone,erwähnen,mention,yudhkar,eongeubhada,upomyanut'
menu,menú,meni,Speisekarte,menu,qayimat taeam,menyu,menyu
mere,mero,sèlman,bloß,simple,mujarad,danji,vsego lish'
merely,meramente,senpleman,lediglich,simplement,mujarrd,geujeo,prosto
mess,desorden,dezòd,Durcheinander,désordre,fawdaa,eongmang,besporyadok
message,mensaje,mesaj,Nachricht,message,risala,mesiji,soobshcheniye
metal,metal,metal,Metall,métal,maedin,geumsog,metall
meter,metro,mèt,Meter,mètre,mitr,miteo,metr
method,método,metòd,Methode,méthode,tariqa,bangbeob,metod
Mexican,mexicano,Meksiken,Mexikaner,mexicain,miksikiun,megsiko in,Meksikanskiy
middle,medio,mitan,Mitte,milieu,wasat,gaunde,seredina
might,podría,ta ka,könnte,pourrait,qad,~hal geos gatda,moshch'
military,militar,militè,Militär,militaire,jaysh,gundae,voyennyy
milk,leche,lèt,Milch,lait,laban,uyu,moloko
million,millón,milyon,Million,million,milyun,baegman,million
mind,mente,lespri,Geist,esprit,eaql,jeongsin,razum
mine,mío,mwen,meins,le mien,milki,nae geo,moy
minister,ministro,minis,Minister,ministre,wazir,jang-gwan,ministr
minor,menor,minè,unerheblich,mineure,saghir,miseongnyeonja,neznachitel'nyy
minority,minoría,minorite,Minderheit,minorité,aqaliya,sosu,men'shinstvo
minute,minuto,minit,Minute,minute,daqiqatan,bun,minuta
miracle,milagro,mirak,Wunder,miracle,muejiza,gijeog,chudo
mirror,espejo,glas,Spiegel,miroir,mura,geoul,zerkalo
miss,extrañar,madmwazèl,vermissen,manquer,yaftaqid,nohchida,skuchat'
missile,misil,misil,Rakete,missile,sarukh,misail,raketa
mission,misión,misyon,Mission,mission,muhima,samyeong,missiya
mistake,error,erè,Fehler,erreur,khata,silsu,oshibka
mix,mezcla,melanje,mischen,mélanger,mazj,honhab,smeshivaniye
mixture,mezcla,melanj,Mischung,mélange,khalit,honhabmul,smes'
mm-hmm,mm-hmm,mm-hmm,mm-hmm,mm-hmm,muma hamamam,euheum,mm-khm
mode,modo,mòd,Modus,mode,wade,bangbeob,rezhim
model,modelo,modèl,Modell,modèle,namudhaj,model,model'
moderate,moderado,modere,mäßig,modéré,muetadil,botong-ui,umerennyy
modern,moderno,modèn,modern,moderne,hadith,hyeondaeui,sovremennyy
modest,modesto,modès,bescheiden,modeste,muhtashim,botong-ui,skromnyy
mom,mamá,manman,Mama,maman,um,eomma,mama
moment,momento,moman,Moment,moment,lahza,sungan,moment
money,dinero,lajan,Geld,argent,mal,don,den'gi
monitor,monitor,kontwole,Monitor,moniteur,shasha,gamsi jangchi,monitor
month,mes,mwa,Monat,mois,shahr,wol,mesyats
mood,ánimo,atitid,Stimmung,humeur,mizaj,bun-wigi,nastroyeniye
moon,luna,lalin,Mond,lune,qamar,dal,luna
moral,moral,moral,Moral,morale,akhlaqi,douijeog-in,moral'nyy
more,más,plis,mehr,plus,akthar,deo,boleye
moreover,además,anplis,darüber hinaus,de plus,eilawatan ealaa dhalik,gedaga,boleye togo
morning,mañana,maten,Morgen,matin,sabah,achim,utro
mortgage,hipoteca,ipotèk,Hypothek,hypothèque,alqard aleaqariu,jeodang,ipoteka
most,mayoría,pi fò,am meisten,la plupart,muezam,choedae,bol'shinstvo
mostly,principalmente,sitou,meistens,surtout,khasatan,julo,po bol'shey chasti
mother,madre,manman,Mutter,mère,al'umu,eomeoni,mat'
motion,movimiento,mouvman,Bewegung,mouvement,haraka,undong,dvizheniye
motivation,motivación,motivasyon,Motivation,motivation,tahfiz,dong-gi buyeo,motivatsiya
motor,motor,motè,Motor,moteur,muharik,moteo,motor
mount,montar,mòn,montieren,monter,tataeadad,san,ustanavlivat'
mountain,montaña,montay,Berg,montagne,jabal,san,gora
mouse,ratón,sourit,Maus,souris,alfar,saengjwi,mysh'
mouth,boca,bouch,Mund,bouche,fam,ib,rot
move,mover,deplase,bewegen,se déplacer,yataharak,idonghada,dvigat'sya
movement,movimiento,mouvman,Bewegung,mouvement,haraka,umjig-im,dvizheniye
movie,película,fim,Film,film,film,yeonghwa,fil'm
Mr,Señor,mesye,Herr,M,alsayid,ssi,Mister
Mrs,Señora,Madam,Frau,Mme,alssyd,bu-in,Missis
Ms,EM,Ms,MS,MS,ansa,yang,RS
much,mucho,anpil,viel,beaucoup,kthyraan,manh-i,mnogo
multiple,múltiple,miltip,mehrere,plusieurs,eadid,dasuui,neskol'ko
murder,asesinato,touye moun,Mord,meurtre,qutil,sal-in,ubiystvo
muscle,músculo,misk,Muskel,muscle,eadla,geun-yug,myshtsa
museum,museo,mize,Museum,musée,muthaf,bagmulgwan,muzey
music,música,Mizik,Musik,musique,musiqaa,eum-ag,muzyka
musical,musical,mizikal,Musical,musical,musiqi,myujikeol,myuzikl
musician,músico,mizisyen,Musiker,musicien,musiqi aw eazif,eum-agga,muzykant
Muslim,musulmán,Mizilman,Muslim,musulman,muslim,iseullamgyodo,musul'manin
must,debe,dwe,muss,doit,yajib,~ haeya hada,dolzhen
mutual,mutual,mityèl,gegenseitig,mutuel,mushtarak,sanghogan-ui,vzaimnyy
my,mi,mwen,Mein,mon,ly,naui,moy
myself,mí mismo,tèt mwen,ich selbst,moi-même,nafsi,nae jasin,sam
mystery,misterio,mistè,Geheimnis,mystère,uhjia,sinbi,tayna
myth,mito,mit,Mythos,mythe,khurafa,sinhwa,mif
naked,desnudo,toutouni,nackt,nu,earia,jeognalahan,golyy
name,nombre,non,Name,nom,asm,ileum,imya
narrative,narrativo,naratif,Erzählung,narratif,riwaya,iyagi,povestvovaniye
narrow,angosto,etwat,eng,étroit,diq,job-eun,uzkiy
nation,nación,nasyon,Nation,nation,uma,gugga,natsiya
national,nacional,nasyonal,National,national,watani,guggaui,natsional'nyy
native,nativo,natif natal,einheimisch,indigène,mahaliy,tojong-ui,rodnoy
natural,natural,natirèl,natürlich,naturel,tabieiun,jayeonseuleoun,yestestvennyy
naturally,naturalmente,natirèlman,natürlich,naturellement,bitabieat alhal,dang-yeonhi,yestestvenno
nature,naturaleza,lanati,Natur,nature,tabiea,jayeon,priroda
near,cerca,tou pre,nahe,près,qarib,gakkaun,okolo
nearby,cercano,tou pre,nahe,proche,mujawir,gakkaun,ryadom
nearly,cerca de,preske,fast,presque,taqriban,geoui,okolo
necessarily,necesariamente,nesesèman,Notwendig,nécessairement,bialdarura,pil-yeonjeog-eulo,obyazatel'no
necessary,necesario,nesesè,notwendig,nécessaire,daruri,pil-yohan,neobkhodimyy
neck,cuello,kou,Nacken,cou,raqaba,mog,sheya
need,necesidad,bezwen,brauchen,besoin,yahtaj,pil-yo,nuzhdat'sya
negative,negativo,negatif,Negativ,négatif,salbiun,bujeongjeog-in,otritsatel'nyy
negotiate,negociar,negosye,verhandeln,négocier,tafawud,hyeobsanghada,vesti peregovory
negotiation,negociación,negosyasyon,Verhandlung,négociation,tafawud,hyeobsang,peregovory
neighbor,vecino,vwazen,Nachbar,voisin,jar,ius,sosed
neighborhood,vecindario,katye,Nachbarschaft,quartier,hy,ius,rayon
neither,ni,ni,weder,ni l'un ni l'autre,la,eoneu geosdo anida,ni odin
nerve,nervio,nè,Nerv,nerf,easab,singyeong isang,nerv
nervous,nervioso,nève,nervös,nerveux,mutawatir,bul-anhan,nervnyy
net,neto,nèt,Netz,filet,shabaka,geumul,set'
network,red,rezo,Netzwerk,réseau,shabaka,hoelomang,set'
never,nunca,pa janm,niemals,jamais,abdaan,jeoldae,nikogda
nevertheless,sin embargo,kanmenm,Trotzdem,néanmoins,mae dhalik,geuleom-edo bulguhago,tem ne meneye
new,nuevo,nouvo,neu,nouveau,jadid,saeloun,novyy
newly,recién,fèk,neu,nouvellement,hadithan,saeloun,nedavno
news,noticias,nouvèl,Nachricht,nouvelles,akhbar,sosig,Novosti
newspaper,periódico,jounal,Zeitung,journal,jarida,sinmun,gazeta
next,próximo,pwochen,nächste,suivant,altaali,da-eum,sleduyushchiy
nice,lindo,bèl,Hübsch,bon,latif - jayid,meosjin,khoroshiy
night,noche,lannwit,Nacht,nuit,layla,bam,noch'
nine,nueve,nèf,neun,neuf,tise,ahob,devyat'
no,No,non,NEIN,Non,la,aniyo,net
nobody,nadie,pèsonn,niemand,personne,la 'ahad,amudo,nikto
nod,asentir,souke tèt,nicken,hocher la tête,iima'a,moglye,kivok
noise,ruido,bri,Lärm,bruit,dawda',so-eum,shum
nomination,nominación,nominasyon,Nominierung,nomination,tarshih,jimyeong,nominatsiya
none,ninguno,okenn,keiner,aucun,la 'ahad,eobs-eum,nikto
nonetheless,sin embargo,kanmenm,dennoch,néanmoins,wamae dhalik,geuleom-edo bulguhago,tem ne meneye
nor,ni,ni,noch,ni,wala,...do anida,ni
normal,normal,nòmal,normal,normale,tabieiun,jeongsang,normal'nyy
normally,normalmente,nòmalman,normalerweise,normalement,eadatan,botong,obychno
north,norte,nò,Norden,nord,shamal,bugjjog,sever
northern,del Norte,nò,nördlich,nord,shamaliu,bugbu satuli,severnyy
nose,nariz,nen,Nase,nez,anf,ko,nos
not,no,pa,nicht,pas,la,~ anida,net
note,nota,Remak,Notiz,note,malhuza,memo,primechaniye
nothing,nada,anyen,Nichts,rien,la shi,amugeosdo anim,nichego
notice,aviso,avi,beachten,avis,yulahaz,al-achaeda,uvedomleniye
notion,noción,nosyon,Vorstellung,notion,fikra,gaenyeom,ponyatiye
novel,novedoso,roman,Roman,roman,riwaya,soseol,roman
now,ahora,kounye a,Jetzt,maintenant,alan,jigeum,seychas
nowhere,en ningún lugar,okenn kote,nirgends,nulle part,fi 'ayi makan,amudedo,nigde
n't,Nuevo Testamento,pa,nicht,NT,la,an dwae,net
nuclear,nuclear,nikleyè,nuklear,nucléaire,alnawawia,haegmugi,yadernyy
number,número,nimewo,Nummer,nombre,raqm,susja,chislo
numerous,numeroso,anpil,zahlreich,nombreux,eadid,manh-eun,mnogochislennyye
nurse,enfermero,enfimyè,Krankenschwester,infirmière,mumarida,ganhosa,medsestra
nut,tuerca,nwa,Nuss,noix,bunduq,neoteu,orekh
object,objeto,objè,Objekt,objet,hadaf,mulche,"ob""yekt"
objective,objetivo,objektif,Zielsetzung,objectif,mawdueiun,mogjeog,tsel'
obligation,obligación,obligasyon,Verpflichtung,obligation,furid,uimu,obyazatel'stvo
observation,observación,obsèvasyon,Überwachung,observation,mulahaza,gwanchal,nablyudeniye
observe,observar,obsève,beobachten,observer,yuraqib,gwanchalhada,nablyudat'
observer,observador,obsèvatè,Beobachter,observateur,muraqib,gwanchalja,nablyudatel'
obtain,obtener,jwenn,erhalten,obtenir,yahsul ealaa,eodda,poluchat'
obvious,obvio,evidan,offensichtlich,évident,badihi,bunmyeonghan,ochevidnyy
obviously,obviamente,evidamman,offensichtlich,évidemment,biwuduh,hwagsilhi,ochevidno
occasion,ocasión,okazyon,Gelegenheit,occasion,munasabat,gihoe,povod
occasionally,ocasionalmente,detanzantan,gelegentlich,occasionnellement,ahyanaan,gakkeum,izredka
occupation,ocupación,okipasyon,Beruf,profession,iishghal,jig-eob,zanyatiye
occupy,ocupar,okipe,besetzen,occuper,tashghal,jeom-yuhada,zanimat'
occur,ocurrir,rive,geschehen,se produire,yahduth,balsaenghada,proiskhodit'
ocean,océano,oseyan,Ozean,océan,muhit,daeyang,okean
odd,extraño,enpè,seltsam,impair,gharib,isanghan,strannyy
odds,impares,chans,Chancen,chances,aihtimal,seungsan,shansy
of,de,nan,von,de,l,~ui,iz
off,apagado,koupe,aus,désactivé,ean,kkeuda,vyklyuchennyy
offense,ofensa,ofans,Delikt,infraction,jarima,wiban,prestupleniye
offensive,ofensivo,ofansif,beleidigend,offensant,jarih,gong-gyeog,oskorbitel'nyy
offer,oferta,ofri,Angebot,offre,yuerid,gwonhada,predlozheniye
office,oficina,biwo,Büro,bureau,maktab,samusil,ofis
officer,oficial,ofisye,Offizier,officier,dabit,jang-gyo,ofitser
official,oficial,ofisyèl,offiziell,officiel,rasmi,gongsigjeog-in,chinovnik
often,a menudo,souvan,oft,souvent,ghalbaan,jaju,chasto
oh,Vaya,oh,Oh,Oh,awh,o,oy
oil,aceite,lwil oliv,Öl,huile,zayt,gileum,maslo
ok,OK,ok,OK,d'accord,naeam,joh-ayo,khorosho
okay,bueno,Dakò,Okay,d'accord,tamaam,joh-ayo,khorosho
old,viejo,fin vye granmoun,alt,vieux,qadim,olaedoen,staryy
Olympic,olímpico,Olympic,olympisch,olympique,al'uwlimbia,gugje ollimpig gyeong-gi daehoe,Olimpiyskiy
on,en,sou,An,sur,ealaa,~e,na
once,una vez,yon fwa,einmal,une fois,maratan wahidatan,han beon,odin raz
one,uno,youn,eins,un,wahid,hana,odin
ongoing,en curso,kontinyèl,fortlaufend,en cours,jari altanfidh,jeonjin,nepreryvnyy
onion,cebolla,zonyon,Zwiebel,oignon,basila,yangpa,luk
online,en línea,sou entènèt,online,en ligne,mutasil,onlain,V seti
only,solo,sèlman,nur,seulement,faqat,ojig,tol'ko
onto,sobre,sou,auf zu,sur,ealaa,wie,na
open,abierto,louvri,offen,ouvrir,yuftah,yeollyeo issneun,otkryt'
opening,apertura,ouvèti,Öffnung,ouverture,aiftitah,yeollineun,otkrytiye
operate,funcionar,opere,arbeiten,fonctionner,aleamal,jagdonghada,deystvovat'
operating,operando,opere,Betriebs,en fonctionnement,altashghil,un-yeong jung,deystvuyushchiy
operation,operación,operasyon,Betrieb,opération,eamalia,jag-eob,operatsiya
operator,operador,operatè,Operator,opérateur,almashghal 'aw aleamil,un-yeongja,operator
opinion,opinión,opinyon,Meinung,avis,ray,uigyeon,mneniye
opponent,adversario,advèsè,Gegner,adversaire,alkhasm,sangdae,protivnik
opportunity,oportunidad,opòtinite,Gelegenheit,opportunité,fursa,gihoe,vozmozhnost'
oppose,oponerse a,opoze,ablehnen,s'opposer,yuearid,daedeulda,vystupat' protiv
opposite,opuesto,kontrè,Gegenteil,opposé,eakas,bandae,protivopolozhnyy
opposition,oposición,opozisyon,Opposition,opposition,muearada,bandae,oppozitsiya
option,opción,opsyon,Möglichkeit,option,khiar,obsyeon,variant
or,o,oswa,oder,ou,aw,ttoneun,ili
orange,naranja,zoranj,orange,orange,alburtuqaliu,juhwangsaeg,apel'sin
order,orden,lòd,Befehl,commande,talab,jumunhada,zakaz
ordinary,común,òdinè,normal,ordinaire,eadi,pyeongbeomhan,obychnyy
organic,orgánico,òganik,organisch,organique,eudwi,bonjiljeog-in,organicheskiy
organization,organización,òganizasyon,Organisation,organisation,munazama,jojig,organizatsiya
organize,organizar,òganize,organisieren,organiser,tunazam,jeonglihada,organizovat'
orientation,orientación,oryantasyon,Orientierung,orientation,tawjih,jeong-wi,oriyentatsiya
origin,origen,orijin,Herkunft,origine,asl,giwon,istochnik
original,original,orijinal,Original,original,iibdaei,wonlaeui,original'nyy
originally,originalmente,orijinèlman,ursprünglich,initialement,fi al'asl,wonlae,iznachal'no
other,otro,lòt,andere,autre,akhar,daleun,drugoy
others,otros,lòt moun,Andere,autres,ahrun,daleun salam,drugiye
