English,Spanish,HC
shade,sombra,lonbraj
shadow,sombra,lonbraj
shake,agitar,souke
shall,deberá,va
shape,forma,fòm
share,compartir,pataje
sharp,afilado,byen file
she,ella,li
sheet,hoja,fèy
shelf,estante,etajè
shell,caparazón,kokiy
shelter,refugio,abri
shift,cambio,chanjman
shine,brillar,klere
ship,barco,bato
shirt,camisa,chemiz
shit,mierda,kaka
shock,choque,chòk
shoe,zapato,soulye
shoot,disparar,tire
shooting,tiroteo,tire
shop,comercio,boutik
shopping,compras,fè makèt
shore,costa,rivaj
short,corto,kout
shortly,dentro de poco,yon ti tan
shot,disparo,tire
should,debería,ta dwe
shoulder,hombro,zepòl
shout,gritar,rele byen fò
show,espectáculo,montre
shower,ducha,douch
shrug,encogimiento de hombros,leve zèpòl
shut,cerrar,fèmen
sick,enfermo,malad
side,lado,bò
sigh,suspiro,soupi
sight,vista,je
sign,firmar,siyen
signal,señal,siyal
significance,significado,siyifikasyon
significant,significativo,enpòtan
significantly,significativamente,siyifikativman
silence,silencio,silans
silent,silencioso,silans
silver,plata,ajan
similar,similar,menm jan an
similarly,similarmente,menm jan an tou
simple,simple,senp
simply,simplemente,Senpleman
sin,pecado,peche
since,desde,depi
sing,cantar,chante
singer,cantante,chantè
single,soltero,sèl
sink,hundir,koule
sir,Señor,mesye
sister,hermana,sè
sit,sentarse,chita
site,sitio,sit
situation,situación,sitiyasyon
six,seis,sis
size,tamaño,gwosè
ski,esquí,ski
skill,habilidad,konpetans
skin,piel,po
sky,cielo,syèl la
slave,esclavo,esklav
sleep,dormir,dòmi
slice,rebanada,tranch
slide,deslizar,glise
slight,leve,ti tay
slightly,levemente,yon ti kras
slip,deslizar,glise
slow,lento,ralanti
slowly,despacio,dousman
small,pequeño,piti
smart,elegante,entelijan
smell,oler,pran sant
smile,sonrisa,souri
smoke,fumar,lafimen
smooth,liso,lis
snap,quebrar,menen
snow,nieve,nèj
so,entonces,konsa
so-called,así llamado,sa yo rele
soccer,fútbol,foutbòl
social,social,sosyal
society,sociedad,sosyete a
soft,suave,mou
software,software,lojisyèl
soil,suelo,tè
solar,solar,solèy
soldier,soldado,sòlda
solid,sólido,solid
solution,solución,solisyon
solve,resolver,rezoud
some,alguno,kèk
somebody,alguien,yon moun
somehow,de alguna manera,yon jan kanmenm
someone,alguien,yon moun
something,algo,yon bagay
sometimes,a veces,pafwa
somewhat,un poco,yon ti jan
somewhere,en algún lugar,yon kote
son,hijo,pitit gason
song,canción,chante
soon,pronto,byento
sophisticated,sofisticado,sofistike
sorry,Lo siento,padon
sort,clasificar,sòt
soul,alma,nanm
sound,sonido,son
soup,sopa,soup
source,fuente,sous
south,sur,sid
southern,del Sur,sid
Soviet,Soviético,Sovyetik
space,espacio,espas
Spanish,Español,Panyòl
speak,hablar,pale
speaker,vocero,oratè
special,especial,espesyal
specialist,especialista,espesyalis
species,especies,espès yo
specific,específico,espesifik
specifically,específicamente,espesyalman
speech,discurso,diskou
speed,velocidad,vitès
spend,gastar,depanse
spending,gasto,depans
spin,girar,vire
spirit,espíritu,lespri
spiritual,espiritual,espirityèl
split,dividir,fann
spokesman,portavoz,pòtpawòl
sport,deporte,espò
spot,lugar,plas
spread,desparramar,gaye
spring,primavera,prentan
square,cuadrado,kare
squeeze,estrujar,peze
stability,estabilidad,estabilite
stable,estable,ki estab
staff,personal,anplwaye yo
stage,escenario,etap
stair,escalera,eskalye
stake,apostar,poto
stand,pararse,kanpe
standard,estándar,estanda
standing,de pie,kanpe
star,estrella,zetwal
stare,mirar fijamente,fikse
start,comenzar,kòmanse
state,estado,eta
statement,declaración,deklarasyon
station,estación,estasyon
statistics,Estadísticas,estatistik
status,estado,estati
stay,permanecer,rete
steady,estable,fiks
steal,robar,vòlè
steel,acero,asye
step,paso,etap
stick,palo,baton
still,aún,toujou
stir,remover,brase
stock,existencias,stock
stomach,estómago,lestomak
stone,piedra,wòch
stop,detener,sispann
storage,almacenamiento,depo
store,almacenar,magazen
storm,tormenta,tanpèt
story,historia,istwa
straight,derecho,dwat
strange,extraño,etranj
stranger,extraño,etranje
strategic,estratégico,estratejik
strategy,estrategia,estrateji
stream,arroyo,kouran
street,calle,lari
strength,fortaleza,fòs
strengthen,fortalecer,ranfòse
stress,estrés,estrès
stretch,estirar,detire
strike,huelga,grèv
string,cadena,fisèl
strip,banda,retire rad sou ou
stroke,ataque,konjesyon serebral
strong,fuerte,fò
strongly,fuertemente,fòtman
structure,estructura,estrikti
struggle,lucha,lite
student,alumno,etidyan
studio,estudio,estidyo
study,estudiar,etid
stuff,cosa,bagay
stupid,estúpido,estipid
style,estilo,style
subject,sujeto,sijè
submit,entregar,soumèt
subsequent,subsecuente,ki vin apre
substance,sustancia,sibstans
substantial,sustancial,sibstansyèl
succeed,tener éxito,reyisi
success,éxito,siksè
successful,exitoso,siksè
successfully,exitosamente,avèk siksè
such,semejante,sa yo
sudden,repentino,toudenkou
suddenly,de repente,toudenkou
sue,demandar,lajistis
suffer,sufrir,soufri
sufficient,suficiente,ase
sugar,azúcar,sik
suggest,sugerir,sijere
suggestion,sugerencia,sijesyon
suicide,suicidio,swisid
suit,traje,kostim
summer,verano,ete
summit,cumbre,somè
sun,sol,solèy
super,súper,super
supply,suministrar,rezèv
support,apoyo,sipò
supporter,seguidor,sipòtè
suppose,suponer,sipoze
supposed,supuesto,sipoze
Supreme,Supremo,Siprèm
sure,seguro,asire w
surely,seguramente,siman
surface,superficie,sifas
surgery,cirugía,operasyon
surprise,sorpresa,sipriz
surprised,sorprendido,sezi
surprising,sorprendente,etone
surprisingly,asombrosamente,etonan
surround,rodear,antoure
survey,encuesta,sondaj
survival,supervivencia,siviv
survive,sobrevivir,siviv
survivor,sobreviviente,sivivan
suspect,sospechar,sispèk
sustain,sostener,soutni
swear,jurar,fè sèman
sweep,barrer,bale
sweet,dulce,dous
swim,nadar,naje
swing,balancearse,balanse
switch,cambiar,chanje
symbol,símbolo,senbòl
symptom,síntoma,sentòm
system,sistema,sistèm
table,mesa,tab
tablespoon,cucharada,gwo kiyè
tactic,táctica,taktik
tail,cola,ke
take,llevar,pran
tale,cuento,istwa
talent,talento,talan
talk,hablar,pale
tall,alto,wo
tank,tanque,tank
tap,grifo,tiyo
tape,cinta,kasèt
target,objetivo,sib
task,tarea,travay
taste,gusto,gou
tax,impuesto,taks
taxpayer,contribuyente,kontribyab
tea,té,te
teach,enseñar,anseye
teacher,maestro,pwofesè
teaching,enseñando,ansèyman
team,equipo,ekip
tear,lágrima,dechire
teaspoon,cucharilla,ti kiyè
technical,técnico,teknik
technique,técnica,teknik
technology,tecnología,teknoloji
teen,adolescente,adolesan
teenager,adolescente,adolesan
telephone,teléfono,telefòn
telescope,telescopio,teleskòp
television,televisión,televizyon
tell,decir,di
temperature,temperatura,tanperati
temporary,temporario,tanporè
ten,diez,dis
tend,tender,gen tandans
tendency,tendencia,tandans
tennis,tenis,tenis
tension,tensión,tansyon
tent,carpa,tant
term,término,tèm
terms,términos,tèm
terrible,horrible,terib
territory,territorio,teritwa
terror,terror,laterè
terrorism,terrorismo,teworis
terrorist,terrorista,teworis
test,prueba,tès
testify,testificar,temwaye
testimony,testimonio,temwayaj
testing,pruebas,tès
text,texto,tèks
than,que,pase
thank,agradecer,mèsi
thanks,gracias,mèsi
that,eso,sa
the,el,la
theater,teatro,teyat
their,su,yo
them,a ellos,yo
theme,tema,tèm
themselves,ellos mismos,tèt yo
then,entonces,lè sa a
theory,teoría,teyori
therapy,terapia,terapi
there,allá,la
therefore,por lo tanto,se poutèt sa
these,estos,sa yo
they,ellos,yo
thick,grueso,pwès
thin,delgado,mens
thing,cosa,bagay
think,pensar,panse
thinking,pensamiento,panse
third,tercero,twazyèm
thirty,treinta,trant
this,este,sa a
those,aquellos,sa yo
though,aunque,menm si
thought,pensamiento,te panse
thousand,mil,mil
threat,amenaza,menas
threaten,amenazar,menase
three,tres,twa
throat,garganta,gòj
through,a través de,atravè
throughout,a lo largo de,nan tout
throw,tirar,jete
thus,de este modo,konsa
ticket,boleto,tikè
tie,atar,mare
tight,ajustado,sere
time,tiempo,tan
tiny,diminuto,ti
tip,consejo,pwent
tire,neumático,kaoutchou
tired,cansado,fatige
tissue,tejido,tisi
title,título,tit
to,a,pou
tobacco,tabaco,tabak
today,hoy,jodi a
toe,dedo del pie,zòtèy
together,juntos,ansanm
tomato,tomate,tomat
tomorrow,mañana,demen
tone,tono,ton
tongue,lengua,lang
tonight,esta noche,aswè a
too,también,tou
tool,herramienta,zouti
tooth,diente,dan
top,arriba,tèt
topic,tema,sijè
toss,sacudida,lanse
total,total,total
totally,totalmente,totalman
touch,tocar,manyen
tough,difícil,difisil
tour,recorrido,vwayaj
tourist,turista,touris
tournament,torneo,tounwa
toward,hacia,nan direksyon
towards,hacia,vers
tower,torre,gwo kay won
town,ciudad,vil
toy,juguete,jwèt
trace,rastro,tras
track,pista,tras
trade,comercio,komès
tradition,tradición,tradisyon
traditional,tradicional,tradisyonèl yo
traffic,tráfico,trafik
tragedy,tragedia,trajedi
trail,camino,santye
train,tren,tren
training,capacitación,fòmasyon
transfer,transferir,transfere
transform,transformar,transfòme
transformation,transformación,Transfòmasyon
transition,transición,tranzisyon
translate,traducir,tradwi
transportation,transporte,transpòtasyon
travel,viajar,vwayaje
treat,tratar,trete
treatment,tratamiento,tretman
treaty,tratado,trete
tree,árbol,pye bwa
tremendous,enorme,fòmidab
trend,tendencia,tandans
trial,ensayo,jijman
tribe,tribu,branch fanmi
trick,truco,jwe fent
trip,viaje,vwayaj
troop,tropa,twoup
trouble,problema,pwoblèm
truck,camión,kamyon
TRUE,VERDADERO,VRE
truly,realmente,vrèman
trust,confianza,fè konfyans
truth,verdad,verite
try,intentar,eseye
tube,tubo,tib
tunnel,túnel,tinèl
turn,doblar,vire
TV,TELEVISOR,televizyon
twelve,doce,douz
twenty,veinte,ven
twice,dos veces,de fwa
twin,mellizo,jimo
two,dos,de
type,tipo,kalite
typical,típico,tipik
typically,típicamente,tipikman
ugly,feo,lèd
ultimate,último,ultim
ultimately,por último,finalman
unable,incapaz,pa kapab
uncle,tío,tonton
under,bajo,anba
undergo,someterse,sibi
understand,entender,konprann
understanding,comprensión,konpreyansyon
unfortunately,desafortunadamente,malerezman
uniform,uniforme,inifòm
union,Unión,sendika
unique,único,inik
unit,unidad,inite
United,Unido,Etazini
universal,universal,inivèsèl
universe,universo,linivè
university,universidad,inivèsite
unknown,desconocido,enkoni
unless,a menos que,sof si
unlike,a diferencia de,kontrèman ak
unlikely,improbable,fasil
until,hasta,jiskaske
unusual,inusual,etranj
up,arriba,leve
upon,al,sou
upper,superior,anwo
urban,urbano,iben
urge,urgir,ankouraje
us,a nosotros,nou
use,usar,itilize
used,usado,itilize
useful,útil,itil
user,usuario,itilizatè
usual,habitual,nòmal
usually,generalmente,anjeneral
utility,utilidad,sèvis piblik
vacation,vacaciones,vakans
valley,valle,fon
valuable,valioso,valab
value,valor,valè
variable,variable,varyab
variation,variación,varyasyon
variety,variedad,varyete
various,varios,divès kalite
vary,variar,varye
vast,vasto,vas
vegetable,verdura,legim
vehicle,vehículo,machin
venture,empresa,antrepriz
version,versión,vèsyon
versus,versus,kont
very,muy,trè
vessel,buque,veso
veteran,veterano,veteran
via,a través de,via
victim,víctima,viktim
victory,victoria,viktwa
video,video,videyo
view,vista,wè
viewer,espectador,telespektatè
village,aldea,vilaj
violate,violar,vyole
violation,violación,vyolasyon
violence,violencia,vyolans
violent,violento,vyolan
virtually,virtualmente,nòmalman
virtue,virtud,vèti
virus,virus,viris
visible,visible,vizib
vision,visión,vizyon
visit,visita,vizite
visitor,visitante,vizitè
visual,visual,vizyèl
vital,vital,vital
voice,voz,vwa
volume,volumen,volim
volunteer,voluntario,volontè
vote,votar,vote
voter,votante,elektè
vs,vs,vs
vulnerable,vulnerable,vilnerab
wage,salario,salè
wait,esperar,tann
wake,despertar,reveye
walk,caminar,mache
wall,muro,miray
wander,deambular,moute desann
want,desear,vle
war,guerra,lagè
warm,cálido,cho
warn,advertir,avèti
warning,advertencia,avètisman
wash,lavar,lave
waste,desperdiciar,fatra
watch,mirar,gade
water,agua,dlo
wave,ola,vag
way,forma,fason
we,nosotros,nou
weak,débil,fèb
wealth,poder,richès
wealthy,adinerado,rich
weapon,arma,zam
wear,tener puesto,mete
weather,clima,move tan
wedding,boda,maryaj
week,semana,semèn
weekend,fin de semana,wikenn
weekly,semanalmente,chak semèn
weigh,pesar,peze
weight,peso,pwa
welcome,bienvenido,akeyi
welfare,bienestar,byennèt
well,Bueno,byen
west,Oeste,lwès
western,occidental,lwès
wet,húmedo,mouye
what,qué,Kisa
whatever,lo que,kèlkeswa sa
wheel,rueda,wou
when,cuando,Kilè
whenever,cuando sea,chak fwa
where,dónde,kote
whereas,mientras,tandiske
whether,si,si wi ou non
which,cual,ki
while,mientras,pandan
whisper,susurro,chichote
white,blanco,blan
who,OMS,OMS
whole,entero,antye
whom,a quien,kiyès
whose,cuyo,ki gen
why,por qué,poukisa
wide,ancho,lajè
widely,ampliamente,lajman
widespread,generalizado,gaye toupatou
wife,esposa,madanm
wild,salvaje,sovaj
will,voluntad,pral
willing,deseoso,vle
win,ganar,genyen
wind,viento,van
window,ventana,fenèt
wine,vino,diven
wing,ala,zèl
winner,ganador,gayan
winter,invierno,sezon fredi
wipe,limpiar,siye
wire,cable,fil
wisdom,sabiduría,bon konprann
wise,inteligente,saj
wish,desear,swete
with,con,ak
withdraw,retirar,retire
within,dentro,anndan
without,sin,san yo pa
witness,testigo,temwen
woman,mujer,fanm
wonder,preguntarse,sezi
wonderful,maravilloso,bèl bagay
wood,madera,bwa
wooden,de madera,an bwa
word,palabra,mo
work,trabajar,travay
worker,obrero,travayè
working,laboral,k ap travay
works,obras,travay
workshop,taller,atelye
world,mundo,mond
worried,preocupado,enkyete
worry,preocuparse,enkyete
worth,valer,vo
would,haría,ta
wound,herida,blese
wrap,envoltura,vlope
write,escribir,ekri
writer,escritor,ekriven
writing,escribiendo,ekri
wrong,equivocado,mal
yard,patio,lakou
yeah,sí,wi
year,año,ane
yell,gritar,rele
yellow,amarillo,jòn
yes,Sí,wi
yesterday,ayer,yè
yet,todavía,ankò
yield,producir,sede
you,tú,ou
young,joven,jèn
your,su,ou
yours,tuyo,ou
yourself,tú mismo,tèt ou
youth,juventud,jenès
zone,zona,zòn
